"Please enter your information below","Rogamos introduzca su información a continuación"
"Metric (metres)","Metros"
"Room Dimensions","Dimensiones de la habitación"
"Width","Anchura (m)"
"Height","Altura (m)"
"Length","Largura (m)"
"Window Area X²","Área de la ventana (en Metros²)"
"Please enter window area","Rogamos indique el área de la ventana"
"Room Information","Detalles de estancia",
"Type of room","Tipo de estancia"
"Please select","Seleccione"
"Living Room","Sala de estar"
"Bedroom","Dormitorio"
"Hallway or Kitchen","Vestíbulo/Cocina"
"Bathroom","Baño"
"What is below the room?","Tipo de estancia debajo de la estancia que desea calentar"
"A heated room","Una estancia con calefacción"
"A wooden floor","Suelo de madera"
"A concrete floor","Suelo de cemento"
"What is above the room?","Espacio encima de la estancia"
"Roof space with no insulation","Espacio del techo - sin aislamiento"
"Roof space with approx. 50mm insulation","Espacio del techo - con aprox. 50mm. de aislamiento"
"Roof space with 100mm+ insulation","Espacio del techo - con aprox. 100mm. de aislamiento"
"A flat roof with no insulation","Techo plano - sin aislamiento"
"A flat roof with insulation","Techo plano - con aislamiento"
"Select type of outside wall","Seleccione el tipo de pared exterior"
"Brick Cavity","Cavidad de ladrillo"
"Insulated Brick Cavity","Cavidad de ladrillo con aislamiento"
"105mm Solid Brick","Ladrillo sólido de 105mm"
"220mm Solid Brick","Ladrillo sólido de 220mm"
"Wood frame","Marco de madera"
"Select type of window","Seleccione el tipo de ventana"
"Wood/Plastic double glazed","Madera / Plástico de doble cristal"
"Metal Single glazed","Metal de un único cristal"
"Wood/Plastic single glazed","Madera / Plástico de un único cristal"
"Wood Single glazed","Madera de un único cristal"
"Select number of outside walls","Número de paredes externas"
"None or One","Una"
"Two","Dos"
"Three","Tres"
"Reset","Restablecer"
"Calculate","Calcular"
"Your Requirements","Potencia calorífica necesaria"
"Watts Required","Vatios necesarios"
"View suitable products","Productos Recomendados"