"Please enter your information below","Vul hieronder uw gegevens in"
"Metric (metres)","Metriek (meters)"
"Room Dimensions","Afmeting van de kamer"
"Width","Breedte (m)"
"Height","Hoogte (m)"
"Length","Lengte (m)"
"Window Area XÂ²","Raamoppervlak in m2"
"Please enter window area","Raamafmeting"
"Room Information","Kamer informatie",
"Type of room","Soort kamer"
"Please select","Selecteer"
"Living Room","Woonkamer"
"Bedroom","Slaapkamer"
"Hallway or Kitchen","Gang of keuken"
"Bathroom","Badkamer"
"What is below the room?","Ruimte onder kamer"
"A heated room","Verwarmde kamer"
"A wooden floor","Houten vloer"
"A concrete floor","Betonnen vloer"
"What is above the room?","Ruimte boven kamer"
"Roof space with no insulation","Zolder zonder isolatie"
"Roof space with approx. 50mm insulation","Zolder met 50mm + isolatie"
"Roof space with 100mm+ insulation","Zolder met 100mm + isolatie"
"A flat roof with no insulation","Plat dak zonder isolatie"
"A flat roof with insulation","Plat dak met isolatie"
"Select type of outside wall","Soort buitenmuur"
"Brick Cavity","Baksteen holte"
"Insulated Brick Cavity","Geisollerde baksteen holte"
"105mm Solid Brick","Solide baksteen - 105mm"
"220mm Solid Brick","Solide baksteen - 220mm"
"Wood frame","Houten kozijnen"
"Select type of window","Selecteer soort raam"
"Wood/Plastic double glazed","Hout/plastic dubbel glas"
"Metal Single glazed","Metaal enkel glas"
"Wood/Plastic single glazed","Hout/plastic enkel glas"
"Wood Single glazed","Hout enkel glas"
"Select number of outside walls","Selecteer aantal buitenmuren"
"None or One","Geen of 1"
"Two","Twee"
"Three","Drie"
"Reset","Reset"
"Calculate","Bereken"
"Your Requirements","Jou vereisten"
"Watts Required","Benodigd wattage"
"View suitable products","Bekijk passende artikelen"