"3 - 5 Working days","3 - 5  Jours ouvrés"
"Standard delivery","Livraison classique"
"Anytime Delivery","Livraison à tout moment"
"Morning Delivery Before","Livraison le matin avant"
"I'm not in a hurry","Je ne suis pas pressé(e)"
"Shipping Address","Adresse de Livraison"
"New Address","Nouvelle Adresse"
"Next >>","Prochain(e) >>"
"Shipping Methods","Modes de Livraison"
"Choose your delivery date and time...","Veuillez choisir votre date et heure de livraison..."
"Select a delivery time...","Sélectionner une heure de livraison..."
"From","De"
"Not available","Indisponible"
"OR","Ou"
"Not in a hurry? Use our standard delivery option, delivered within 3-5 working days","Pas pressé(e) ? Utilisez notre option service de livraison standard, pour être livré(e) sous 3 à 5 jour ouvrés"
"Next","Prochain(e)"
"Sorry, no quotes are available for this order at this time","Désolé, aucune information n'est couramment disponible pour cette commande"
"Shipping","Livraison"
"Save Address","Sauvegarder l'Adresse"
"Cancel","Annuler"
"Limitless Delivery","Livraison sans restrictions"
"Enabled","Activé"
"Key","Clef"
"URL","URL"
"Warehouse Code","Code Entrepôt"
"Economy Service Group","Groupe Service Économie"
"Premium Service Groups","Groupes Service de Premier Ordre"
"Offline Delivery Price","Coût de Livraison Hors Ligne"
"Delivery Charge Threshold","Coût de Livraison Maximum"
"Sort Order","Trier la Commande"
"Ship to Applicable Countries","Pays Possibles pour la Livraison"
"Ship to Specific Countries","Livrer dans des Pays Spécifiques"
"Show Method if Not Applicable","Afficher la Méthode si Non Applicable"
"Displayed Error Message","Message d'Erreur Affiché"
"Address details have been changed. Please re-select your delivery option.","L'adresse a été modifiée. Veuillez resélectionner vos options de livraison."
"Select a delivery date...","Sélectionner une date de livraison..."