"3 - 5 Working days","Spedizione 3-5 giorni lavorativi"
"Standard delivery","Spedizione 3-5 giorni lavorativi"
"Anytime Delivery","Consegna in qualsiasi momento"
"Morning Delivery Before","Consegna mattutina entro le"
"I'm not in a hurry","Non ho fretta"
"Shipping Address","Indirizzo di spedizione"
"New Address","Nuovo Indirizzo"
"Next >>","Seguente >>"
"Shipping Methods","Metodi di Spedizione"
"Choose your delivery date and time...","Ti preghiamo di scegliere l'ora e data della tua consegna..."
"Select a delivery time...","Ti preghiamo di scegliere l'ora de consegna..."
"From","Da"
"Not available","Non disponibile"
"OR","O"
"Not in a hurry? Use our standard delivery option, delivered within 3-5 working days","Se non hai fretta, puoi scegliere il servizio di consegna standard da 3 a 5 giorni lavorativi"
"Next","Seguente"
"Sorry, no quotes are available for this order at this time","Ci dispiace, non ̬ disponibile nessun preventivo per questo ordine al momento."
"Shipping","Spedizione"
"Save Address","Salva indirizzo"
"Cancel","Eliminare"
"Limitless Delivery","Spedizione illimitata"
"Enabled","Abilitato"
"Key","Key"
"URL","URL"
"Warehouse Code","Codice del magazzino"
"Economy Service Group","Gruppi di Servizio Economy"
"Premium Service Groups","Gruppi di Servizio Premium"
"Offline Delivery Price","Prezzo di Consegna Offline"
"Delivery Charge Threshold","Limite dei Costi di Consegna"
"Sort Order","Ordinamento"
"Ship to Applicable Countries","Invia ai paesi applicabili"
"Ship to Specific Countries","Invia a paesi Specifici"
"Show Method if Not Applicable","Mostrate Metodo se Non Applicabile"
"Displayed Error Message","Messaggio d'Errore Mostrato"
"Address details have been changed. Please re-select your delivery option.","Abbiamo modificato i dettagli di indirizzo. Ti preghiamo di selezionare nuovamente l'opzione di consegna."
"Select a delivery date...","Seleziona data di consegna..."