"3 - 5 Working days","3 - 5 werkdagen"
"Standard delivery","Standaard levering"
"Anytime Delivery","Standaard levering"
"Morning Delivery Before","Ochtend bezorging voor"
"I'm not in a hurry","Ik heb geen haast"
"Shipping Address","Afleveradres"
"New Address","Nieuw adres"
"Next >>","Volgende >>"
"Shipping Methods","Verzendmethoden"
"Choose your delivery date and time...","Kies de dag en tijdstip van aflevering"
"Select a delivery time...","Kies een levertijd"
"From","Van"
"Not available","Niet beschikbaar"
"OR","OF"
"Not in a hurry? Use our standard delivery option, delivered within 3-5 working days","Geen haast? Kies dan onze standaard levering - levering binnen 3 - 5 werkdagen"
"Next","Volgende"
"Sorry, no quotes are available for this order at this time","Sorry er zijn momenteel geen offertes beschikbaar voor  deze bestelling"
"Shipping","Verzenden"
"Save Address","Bewaar adres"
"Cancel","Annuleer"
"Limitless Delivery","Ongelimiteerde levering"
"Enabled","Ingeschakeld "
"Key","Key"
"URL","URL"
"Warehouse Code","Magazijn code"
"Economy Service Group","Economy Service Groep"
"Premium Service Groups","Premium Service Groepen"
"Offline Delivery Price","Offline Afleverprijs"
"Delivery Charge Threshold","Limiet leveringskosten"
"Sort Order","Volgorde sorteren"
"Ship to Applicable Countries","Verzend naar toepasselijke landen"
"Ship to Specific Countries","Verzend naar specifieke landen"
"Show Method if Not Applicable","Indien niet van toepassing, toon methode"
"Displayed Error Message","Foutbericht weergegeven"
"Address details have been changed. Please re-select your delivery option.","Adresgegevens zijn gewijzigd. Selecteer uw leveringsoptie opnieuw."
"Select a delivery date...","Selecteer een bezorgdatum ..."
"Please specify a shipping method.","Kies een verzend methode."