"your legacy orders","Je ordergeschiedenis"
"Legacy Order","Ordergeschiedenis"
"view legacy orders","bekijk je ordergeschiedenis"
"orders","bestellingen"
"order","bestelling"
"date","datum"
"ship to","verzend naar"
"order to","order bedrag"
"status","status"
"dispatched","verzonden"
"cancelled","geannuleerd"
"view order","bekijk je bestelling"
"no orders found","geen bestellingen gevonden"
"items","artikelen"
"order placed on","order geplaatst op"
"items ordered","bestelde artikelen"
"product name","artikel naam"
"SKU","Artikelnummer"
"price","prijs"
"qty","aantal"
"subtotal","subtotaal"
"Subtotal","Subtotaal"
"Discount","Korting"
"VAT Exemption","BTW-vrijstelling"
"Shipping &amp; Handling","Verzending &amp; Verwerking"
"Grand Total","Totaal"
"Order Information","Bestellingsinformatie"
"Shipping Address","Afleveradres"
"Shipping Method","Verzendmethode"
"Standard","Standaard"
"Billing Address","Factuur adres"
"Payment Method","Betalingsmethode"
"Bank Transfer","Bankoverboeking"
"No order details found","Geen orderinformatie gevonden"